,count,wins,winsPerRace,meanOdds,oddsTotal
Ulf Ohlsson,3693,572,0.15488762523693475,14.343352288112646,52970
Santtu Raitala,3086,387,0.1254050550874919,17.849319507453014,55083
Mika Forss,2823,416,0.1473609635139922,15.943322706340773,45008
Hannu Torvinen,2713,391,0.1441208993733874,19.471433837080724,52826
Ari Moilanen,2671,388,0.14526394608760765,16.449644327967054,43937
Jorma Kontio,2642,426,0.16124148372445118,18.523088569265706,48938
Carl Johan Jepson,2585,378,0.14622823984526112,13.700193423597678,35415
Rikard N Skoglund,2407,232,0.0963855421686747,21.156211051100957,50923
Esa Holopainen,2161,236,0.1092086996760759,23.739472466450717,51301
Kaj Widell,2154,160,0.07428040854224698,26.364902506963787,56790
Jarmo Saarela,2149,145,0.06747324336900884,31.67007910656119,68059
Örjan Kihlström,2114,385,0.18211920529801323,11.228476821192054,23737
Olli Koivunen,1944,315,0.16203703703703703,18.089506172839506,35166
Peter Untersteiner,1899,328,0.17272248551869404,12.894154818325434,24486
Tapio Perttunen,1868,261,0.13972162740899358,19.411670235546037,36261
Jukka Torvinen,1822,151,0.08287596048298573,26.811745334796928,48851
Björn Goop,1772,344,0.19413092550790068,8.88882618510158,15751
Henri Bollström,1771,199,0.11236589497459062,24.17391304347826,42812
Niko Jokela,1752,196,0.11187214611872145,22.48972602739726,39402
Antti Teivainen,1739,190,0.10925819436457734,21.532489936745257,37445
Ulf Eriksson,1689,161,0.09532267613972766,23.98283007696862,40507
Kim Eriksson,1653,189,0.11433756805807622,21.552329098608592,35626
Mikael J Andersson,1646,144,0.08748481166464156,26.11786148238153,42990
Christoffer Eriksson,1636,205,0.12530562347188265,17.531784841075794,28682
Hannu Hietanen,1626,209,0.12853628536285364,22.837638376383765,37134
Johan Untersteiner,1538,255,0.16579973992197658,12.637191157347203,19436
Torbjörn Jansson,1467,116,0.0790729379686435,26.4573960463531,38813
Jani Ruotsalainen,1439,170,0.11813759555246699,22.90757470465601,32964
Tuomas Pakkanen,1403,137,0.09764789736279401,22.803991446899502,31994
Erik Adielsson,1397,221,0.15819613457408732,16.299928418038654,22771
Stefan Söderkvist,1378,115,0.08345428156748912,26.18867924528302,36088
Ville Pohjola,1302,144,0.11059907834101383,28.13364055299539,36630
Oskar J Andersson,1297,156,0.1202775636083269,22.630686198920586,29352
Iikka Nurmonen,1290,208,0.16124031007751938,18.02170542635659,23248
Ove A Lindqvist,1234,139,0.1126418152350081,20.18638573743922,24910
Kevin Oscarsson,1197,92,0.07685881370091896,32.77777777777778,39235
Peter Ingves,1152,112,0.09722222222222222,22.51215277777778,25934
Seppo Markkula,1101,95,0.08628519527702089,31.835603996366938,35051
Emilia Leo,1037,157,0.15139826422372227,17.52073288331726,18169
Tomas Pettersson,1035,88,0.08502415458937199,25.931400966183574,26839
John Östman,1033,68,0.06582768635043562,27.774443368828653,28691
Petter Karlsson,1025,61,0.05951219512195122,35.77560975609756,36670
Magnus Jakobsson,1021,142,0.13907933398628794,19.92458374142997,20343
Tommi Kylliäinen,1019,107,0.10500490677134446,20.994111874386654,21393
Magnus A Djuse,999,129,0.12912912912912913,20.95995995995996,20939
Mauri Jaara,997,159,0.15947843530591777,13.864593781344032,13823
Robert Bergh,990,196,0.19797979797979798,11.403030303030302,11289
Claes Sjöström,989,127,0.12841253791708795,21.977755308392315,21736
Oskar Kylin Blom,977,72,0.0736949846468782,29.970317297850563,29281
Thomas Uhrberg,966,95,0.09834368530020704,20.5879917184265,19888
Per Lennartsson,959,100,0.10427528675703858,26.740354535974973,25644
Harri Koivunen,931,80,0.08592910848549946,25.175080558539204,23438
Per Linderoth,896,92,0.10267857142857142,21.004464285714285,18820
André Eklundh,821,83,0.10109622411693057,24.5347137637028,20143
Kenneth Haugstad,814,58,0.07125307125307126,27.59090909090909,22459
Mats E Djuse,812,75,0.09236453201970443,23.63054187192118,19188
Juha Utala,795,79,0.09937106918238994,24.740880503144655,19669
Kajsa Frick,788,42,0.0532994923857868,27.694162436548222,21823
Sami Vehviläinen,781,60,0.07682458386683738,30.48911651728553,23812
Antti Ala-Rantala,768,48,0.0625,32.09375,24648
Micael Melander,759,44,0.057971014492753624,32.882740447957836,24958
Joakim Lövgren,743,119,0.1601615074024226,11.79407806191117,8763
Mattias Djuse,740,95,0.12837837837837837,20.5,15170
Juha Länsimäki,738,69,0.09349593495934959,31.486449864498645,23237
Petteri Joki,727,104,0.14305364511691884,22.19257221458047,16134
Stefan Persson,718,65,0.0905292479108635,26.33008356545961,18905
Veli-Erkki Paavola,716,88,0.12290502793296089,27.033519553072626,19356
Arto Laaksonen,712,58,0.08146067415730338,30.969101123595507,22050
Pekka Vehviläinen,702,33,0.04700854700854701,36.22934472934473,25433
Jörgen Westholm,697,98,0.1406025824964132,15.543758967001434,10834
Krister Söderholm,672,52,0.07738095238095238,30.55654761904762,20534
Jukka-Pekka Kauhanen,660,66,0.1,23.754545454545454,15678
Niclas Benzon,646,85,0.13157894736842105,18.520123839009287,11964
Adrian Kolgjini,618,68,0.11003236245954692,18.297734627831716,11308
Hanna Olofsson,611,70,0.11456628477905073,17.545008183306056,10720
Susanne H Osterling,598,35,0.05852842809364549,29.098662207357858,17401
Mika Jauhola,586,44,0.07508532423208192,32.71672354948805,19172
Henriette Larsen,577,54,0.09358752166377816,21.038128249566725,12139
Peter Lindroos,575,50,0.08695652173913043,36.017391304347825,20710
Joni-Petteri Irri,557,46,0.08258527827648116,29.741472172351884,16566
Nicklas Westerholm,552,85,0.1539855072463768,14.307971014492754,7898
Arto Hammar,549,42,0.07650273224043716,32.04371584699454,17592
Daniel Wäjersten,542,85,0.15682656826568267,22.180811808118083,12022
Thomas Dalborg,541,40,0.07393715341959335,30.138632162661736,16305
Markku Hietanen,540,46,0.08518518518518518,28.675925925925927,15485
Pertti Puikkonen,532,35,0.06578947368421052,32.221804511278194,17142
Jenny A Björk,520,38,0.07307692307692308,28.275,14703
Teemu Keskitalo,520,21,0.04038461538461539,38.20192307692308,19865
Micael Stjernström,514,37,0.07198443579766536,39.15758754863813,20127
Ville Tonttila,507,48,0.09467455621301775,37.767258382643,19148
Jonny Länsimäki,504,39,0.07738095238095238,26.15277777777778,13181
Peter Eriksson,493,24,0.0486815415821501,38.12778904665314,18797
Tero E Mäenpää,484,38,0.07851239669421488,33.09710743801653,16019
Teemu Okkolin,479,58,0.12108559498956159,21.57828810020877,10336
Marko Heikari,468,29,0.06196581196581197,31.034188034188034,14524
Jukka-Pekka Niskanen,459,57,0.12418300653594772,24.193899782135077,11105
Henrik Svensson,451,46,0.10199556541019955,25.008869179600886,11279
Conrad Lugauer,444,128,0.2882882882882883,7.4774774774774775,3320
Pekka Korpi,441,46,0.10430839002267574,29.444444444444443,12985
Jens Eriksson,440,27,0.06136363636363636,36.87954545454546,16227
Anders Eriksson,438,53,0.12100456621004566,27.32648401826484,11969
Peter G Norman,438,25,0.05707762557077625,26.929223744292237,11795
Risto Tupamäki,436,59,0.1353211009174312,21.474770642201836,9363
Rickard Svanstedt,436,39,0.08944954128440367,20.610091743119266,8986
Jere Kiveinen,435,30,0.06896551724137931,38.68735632183908,16829
Harri Kotilainen,433,66,0.15242494226327943,18.17782909930716,7871
Panu Ahonen,425,27,0.06352941176470588,43.00235294117647,18276
Fredrik Persson,418,36,0.0861244019138756,19.82535885167464,8287
Tomi Haapio,418,29,0.06937799043062201,31.67464114832536,13240
Roger Nilsson,416,24,0.057692307692307696,31.709134615384617,13191
Heikki Mikkonen,416,61,0.1466346153846154,17.485576923076923,7274
Stefan Edin,411,21,0.051094890510948905,35.32360097323601,14518
Roger Pettersson,410,17,0.041463414634146344,47.697560975609754,19556
Martin P Djuse,400,37,0.0925,24.93,9972
Jan-Olov Åberg,398,19,0.04773869346733668,36.59045226130653,14563
Olle Alsén,397,19,0.04785894206549118,36.83375314861461,14623
Miika Tenhunen,396,32,0.08080808080808081,29.13888888888889,11539
Jan-Olov Persson,396,86,0.21717171717171718,10.803030303030303,4278
Keijo Hakala,395,16,0.04050632911392405,39.063291139240505,15430
Kari Venäläinen,392,16,0.04081632653061224,44.08163265306123,17280
Veijo Heiskanen,390,49,0.12564102564102564,11.941025641025641,4657
Janne Räisänen,386,44,0.11398963730569948,27.10880829015544,10464
Sofia Adolfsson,385,94,0.24415584415584415,9.231168831168832,3554
Markus Niklasson,372,25,0.06720430107526881,47.094086021505376,17519
Johnny Takter,369,63,0.17073170731707318,13.78048780487805,5085
Kristian Lindberg,369,34,0.0921409214092141,26.45257452574526,9761
Henry M Bollström,367,11,0.02997275204359673,41.66212534059945,15290
Antti Tupamäki,365,58,0.1589041095890411,16.663013698630138,6082
Malin Viklund,357,17,0.047619047619047616,35.50700280112045,12676
Jorma Särkiniva,357,21,0.058823529411764705,37.32212885154062,13324
Marc Elias,356,64,0.1797752808988764,16.297752808988765,5802
Linda Sedström,350,23,0.06571428571428571,32.182857142857145,11264
Troels Andersen,347,38,0.10951008645533142,23.7521613832853,8242
Sandra Eriksson,345,47,0.13623188405797101,16.11304347826087,5559
Åke Lindblom,342,39,0.11403508771929824,24.271929824561404,8301
Wiktor Kylin-Blom,341,21,0.06158357771260997,34.12609970674487,11637
Lutfi Kolgjini,340,36,0.10588235294117647,16.985294117647058,5775
Thomas Jonsson,338,27,0.07988165680473373,27.707100591715978,9365
Arna Ruohomäki,338,20,0.05917159763313609,37.39349112426036,12639
Anders Svanstedt,336,22,0.06547619047619048,24.970238095238095,8390
Per Nilsson,335,35,0.1044776119402985,28.53731343283582,9560
Anders Zackrisson,334,21,0.06287425149700598,28.769461077844312,9609
Robert Skoglund,334,33,0.09880239520958084,20.059880239520957,6700
Nathalie Blom,330,18,0.05454545454545454,33.86363636363637,11175
Tom Horpestad,329,19,0.057750759878419454,30.46808510638298,10024
Dagfinn Aarum,328,25,0.07621951219512195,32.65243902439025,10710
Heikki Hietanen,326,26,0.07975460122699386,34.63803680981595,11292
Paw Mahony,326,27,0.08282208588957055,28.125766871165645,9169
Jörgen Sjunnesson,326,31,0.0950920245398773,19.911042944785276,6491
Juha-Matti Paavola,326,23,0.0705521472392638,31.6840490797546,10329
Kari Alapekkala,324,35,0.10802469135802469,19.194444444444443,6219
Claes Eskilsson,322,17,0.052795031055900624,37.29192546583851,12008
Leif Witasp,321,25,0.0778816199376947,29.370716510903428,9428
Jan Henriksson,315,16,0.050793650793650794,46.526984126984125,14656
Rebecca Dahlén,315,44,0.13968253968253969,17.841269841269842,5620
Kimmo Taipale,310,17,0.054838709677419356,34.6,10726
Johan Wiman,308,22,0.07142857142857142,31.227272727272727,9618
Kenth Åkerlund,306,11,0.03594771241830065,40.99346405228758,12544
Marko Hakkarainen,305,42,0.1377049180327869,19.79672131147541,6038
Leif Eriksson,305,6,0.019672131147540985,40.97377049180328,12497
Jens Laursen,305,12,0.03934426229508197,38.28524590163934,11677
Ville Karhulahti,303,25,0.08250825082508251,27.346534653465348,8286
Terho Rautiainen,302,41,0.1357615894039735,24.033112582781456,7258
Toni Granath,302,12,0.039735099337748346,42.97682119205298,12979
Micael Lindblom,294,28,0.09523809523809523,32.105442176870746,9439
Ingvar Nyberg,294,46,0.1564625850340136,19.166666666666668,5635
Jenny Engfors,292,32,0.1095890410958904,20.5,5986
Håkan B Johansson,292,40,0.136986301369863,24.46232876712329,7143
Jarkko Kervinen,290,21,0.07241379310344828,28.306896551724137,8209
Bo Landgren,289,11,0.03806228373702422,39.42906574394463,11395
Jimmy Dahlman,289,14,0.04844290657439446,43.529411764705884,12580
Kari Rosimo,288,23,0.0798611111111111,32.49305555555556,9358
Jenni H Åsberg,284,32,0.11267605633802817,16.37323943661972,4650
Emma Väre,283,31,0.10954063604240283,23.92226148409894,6770
Jim Oscarsson,283,29,0.10247349823321555,32.46289752650177,9187
Heidi Hiltunen,281,24,0.08540925266903915,28.672597864768683,8057
Henna Halme,281,37,0.13167259786476868,19.05338078291815,5354
Marcus Hultman,278,17,0.06115107913669065,35.76258992805755,9942
Martin Malmqvist,277,25,0.09025270758122744,29.646209386281587,8212
Rauno Pöllänen,275,18,0.06545454545454546,29.876363636363635,8216
Antti Veteläinen,274,29,0.10583941605839416,31.76277372262774,8703
Markus Porokka,273,29,0.10622710622710622,14.673992673992673,4006
Hannu Kamppuri,270,18,0.06666666666666667,56.214814814814815,15178
Hannu Korpi,269,38,0.1412639405204461,17.185873605947954,4623
Robert Dunder,267,51,0.19101123595505617,16.228464419475657,4333
Peter Zadel,266,23,0.08646616541353383,30.469924812030076,8105
Antero Heinonen,264,23,0.08712121212121213,25.25,6666
Jennifer Persson,262,31,0.1183206106870229,13.541984732824428,3548
